"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","x.1.",1,6,1.29814875753742,0.0471505087396181,"[1, 1.59]",0.999303988862464,1.59308108058945,0.105431742715484,0.00812768259755511
"2","x.1.",10,8,1.68042382139056,0.0367842076646405,"[1.43, 1.93]",1.43367874407602,1.9257166191674,0.0973218656551947,0.00693617784244214
"3","x.1.",2,16,1.66737402603882,0.0208083816444914,"[1.49, 1.85]",1.49187545027618,1.84669157507607,0.0805905155706435,0.00521209248425426
"4","x.1.",3,20,1.55906310287914,0.0182005610682415,"[1.39, 1.73]",1.38965106152175,1.73037605291625,0.0793344064122052,0.00504438186079709
"5","x.1.",4,22,1.19122376857208,0.0607777212999008,"[0.6, 1.78]",0.597370397870026,1.78305300557246,0.278518508423725,0.017603228530807
"6","x.1.",5,4,1.27312523259369,0.0246069169773155,"[1.12, 1.43]",1.11581820975756,1.42905897783308,0.0426204304223397,0.00402506695878992
"7","x.1.",6,4,1.53813072787977,0.0462832152630515,"[1.24, 1.83]",1.24089864408957,1.83007403373177,0.0801648803732525,0.00757075909483535
"8","x.1.",7,12,1.65573571051765,0.0151816519642352,"[1.54, 1.77]",1.54026700529522,1.77177008037551,0.0503518432631301,0.0033556238546116
"9","x.1.",8,5,1.53955027004836,0.0361801138683528,"[1.31, 1.76]",1.31405054766329,1.76328599607576,0.0723602277367056,0.00599955458470581
"10","x.2.",1,6,1.16383379016748,0.0698195697166416,"[0.73, 1.6]",0.725526750546713,1.60478048842087,0.156121304046196,0.0120353166259247
"11","x.2.",10,8,1.30062369745362,0.0699473969829787,"[0.83, 1.77]",0.830954156683329,1.76659395334428,0.185063417273271,0.0131895619313888
"12","x.2.",2,16,1.19255218068289,0.106333733797776,"[0.28, 2.1]",0.283050650111173,2.09621055875873,0.41182878013884,0.0266345198881337
"13","x.2.",3,20,1.46421206986695,0.0846634919952864,"[0.67, 2.26]",0.672231969723772,2.25718132778824,0.369039605814718,0.0234649350474131
"14","x.2.",4,22,0.370939410346131,0.0537398220265439,"[0, 0.89]",0,0.89311798651938,0.246266802270093,0.0139964807177734
"15","x.2.",5,4,1.2877855655363,0.0363983367052169,"[1.06, 1.52]",1.0565124149518,1.51985542361576,0.0630437684844348,0.0059538438952811
"16","x.2.",6,4,1.05898899035592,0.0575509524754699,"[0.7, 1.43]",0.695750184626461,1.42836144891093,0.0996811737114956,0.00941387486573193
"17","x.2.",7,12,1.00622189301654,0.15983679042505,"[0, 2.22]",0,2.21962712058754,0.530118661534561,0.0331299438753198
"18","x.2.",8,5,1.55223666428214,0.0370927969958309,"[1.32, 1.78]",1.3208326107404,1.78140051696444,0.0741855939916618,0.00615089994148852
"19","x.3.",1,6,1.40159108019212,0.110081346995044,"[0.7, 2.09]",0.70388620131842,2.09016566721069,0.246149374935661,0.0189755375329656
"20","x.3.",10,8,1.82873428763496,0.0361044043878285,"[1.59, 2.07]",1.58693814221238,2.06988274111165,0.0955232752443035,0.00680799140795833
"21","x.3.",2,16,1.8240763126257,0.0297587517886181,"[1.57, 2.08]",1.57359366293136,2.08102788674157,0.115255150081238,0.00745398509063319
"22","x.3.",3,20,1.66666468983881,0.0227240035151848,"[1.45, 1.88]",1.45412660522257,1.8795330458883,0.0990516349153538,0.00629807788380246
"23","x.3.",4,22,0.321596074508616,0.00520862551291474,"[0.27, 0.37]",0.270692856542598,0.372305364359805,0.02386892067961,0.00150858938562048
"24","x.3.",5,4,1.29759088419122,0.0456146073921166,"[1.01, 1.59]",1.0058553104652,1.58651946551323,0.0790068175704528,0.0074613918200903
"25","x.3.",6,4,1.78664482061312,0.0702577226863617,"[1.34, 2.23]",1.33693394936822,2.23129966929165,0.121689945316863,0.0114923799046178
"26","x.3.",7,12,1.80799673403907,0.0407357950978199,"[1.5, 2.12]",1.49546133031875,2.11663627578595,0.135105347876267,0.00900389536585594
"27","x.3.",8,5,1.56061851223864,0.0358140411356124,"[1.34, 1.78]",1.33734441997982,1.78203447506261,0.0716280822712247,0.0059388507032852
